congress,bill_id_clean,predicted_category
117,hr7903,Technology
117,hr7925,Technology
117,hr7939,Technology
117,hr8026,Technology
117,hr8025,Technology
117,s4411,Technology
117,s4458,Technology
117,hr8203,Technology
117,hr8226,Technology
117,hr8260,Technology
117,s4439,Technology
117,hr8351,Technology
117,s4524,Technology
117,hr8404,Technology
117,hr8454,Technology
117,s4785,Technology
117,hr8656,Technology
117,s4791,Technology
117,s4900,Technology
117,s4834,Technology
117,hr8982,Technology
117,s4926,Technology
117,s4949,Technology
117,s4978,Technology
117,s5060,Technology
117,s5066,Technology
117,s5016,Technology
117,s5087,Technology
117,hjres100,Healthcare
117,hr9308,Technology
117,s7,Technology
117,s5168,Technology
117,s5230,Technology
117,s5229,Technology
117,s5328,Technology
117,s5329,Technology
119,hjres140,Healthcare
119,hr7147,Technology
119,s4465,Technology
119,s723,Technology
