member,bioguide_id,party,state,Immigration_total_score,Immigration_vote_totals,Immigration_mean_score,Immigration_final_score,Healthcare_total_score,Healthcare_vote_totals,Healthcare_mean_score,Healthcare_final_score,Taxes_spending_budget_total_score,Taxes_spending_budget_vote_totals,Taxes_spending_budget_mean_score,Taxes_spending_budget_final_score,Education_total_score,Education_vote_totals,Education_mean_score,Education_final_score,Climate_environment_total_score,Climate_environment_vote_totals,Climate_environment_mean_score,Climate_environment_final_score,Nominations_total_score,Nominations_vote_totals,Nominations_mean_score,Nominations_final_score,Entitlements_welfare_total_score,Entitlements_welfare_vote_totals,Entitlements_welfare_mean_score,Entitlements_welfare_final_score,Military_national_security_total_score,Military_national_security_vote_totals,Military_national_security_mean_score,Military_national_security_final_score,Technology_total_score,Technology_vote_totals,Technology_mean_score,Technology_final_score,Business_employment_total_score,Business_employment_vote_totals,Business_employment_mean_score,Business_employment_final_score,Miscellaneous_total_score,Miscellaneous_vote_totals,Miscellaneous_mean_score,Miscellaneous_final_score
Malinowski,M001203,D,NJ,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Malliotakis,M000317,R,NY,6,6,1.0,100.0,11,13,0.846154,69.2308,9,10,0.9,80.0,21,23,0.913043,82.6087,10,11,0.909091,81.8182,17,17,1.0,100.0,17,20,0.85,70.0,20,22,0.909091,81.8182,18,23,0.782609,56.5217,8,10,0.8,60.0,17,20,0.85,70.0
"Maloney, Carolyn B.",M000087,D,NY,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
"Maloney, Sean",M001185,D,NY,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Mann,M000871,R,KS,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,21,22,0.954545,90.9091,21,23,0.913043,82.6087,10,10,1.0,100.0,20,20,1.0,100.0
Manning,M001135,D,NC,0,4,0.0,-100.0,1,5,0.2,-60.0,0,5,0.0,-100.0,2,6,0.333333,-33.3333,0,9,0.0,-100.0,0,3,0.0,-100.0,0,11,0.0,-100.0,2,11,0.181818,-63.6364,2,18,0.111111,-77.7778,0,9,0.0,-100.0,2,6,0.333333,-33.3333
Massie,M001184,R,KY,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,21,25,0.84,68.0,9,10,0.9,80.0,18,20,0.9,80.0,22,22,1.0,100.0,23,24,0.958333,91.6667,24,26,0.923077,84.6154,10,10,1.0,100.0,19,23,0.826087,65.2174
Mast,M001199,R,FL,11,12,0.916667,83.3333,15,15,1.0,100.0,10,12,0.833333,66.6667,26,27,0.962963,92.5926,9,11,0.818182,63.6364,20,20,1.0,100.0,22,22,1.0,100.0,22,24,0.916667,83.3333,26,26,1.0,100.0,10,10,1.0,100.0,22,23,0.956522,91.3043
Matsui,M001163,D,CA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
McBath,M001208,D,GA,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,3,17,0.176471,-64.7059,0,19,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
McCarthy,M001165,R,CA,3,5,0.6,20.0,5,7,0.714286,42.8571,5,7,0.714286,42.8571,6,7,0.857143,71.4286,8,9,0.888889,77.7778,5,6,0.833333,66.6667,11,12,0.916667,83.3333,9,11,0.818182,63.6364,14,19,0.736842,47.3684,7,9,0.777778,55.5556,5,7,0.714286,42.8571
McCaul,M001157,R,TX,7,12,0.583333,16.6667,12,15,0.8,60.0,9,11,0.818182,63.6364,23,25,0.92,84.0,8,11,0.727273,45.4545,11,16,0.6875,37.5,15,17,0.882353,76.4706,22,24,0.916667,83.3333,20,26,0.769231,53.8462,6,10,0.6,20.0,21,23,0.913043,82.6087
McClain,M001136,R,MI,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
McClintock,M001177,R,CA,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,22,22,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
McCollum,M001143,D,MN,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
McGovern,M000312,D,MA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,24,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,19,0.0,-100.0,0,19,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,19,0.0,-100.0
McHenry,M001156,R,NC,6,8,0.75,50.0,3,7,0.428571,-14.2857,4,6,0.666667,33.3333,6,7,0.857143,71.4286,9,9,1.0,100.0,5,6,0.833333,66.6667,9,10,0.9,80.0,9,11,0.818182,63.6364,10,17,0.588235,17.6471,8,9,0.888889,77.7778,6,9,0.666667,33.3333
McKinley,M001180,R,WV,3,6,0.5,0.0,4,6,0.666667,33.3333,6,6,1.0,100.0,2,6,0.333333,-33.3333,5,5,1.0,100.0,4,5,0.8,60.0,7,9,0.777778,55.5556,2,5,0.4,-20.0,12,17,0.705882,41.1765,7,9,0.777778,55.5556,5,7,0.714286,42.8571
McNerney,M001166,D,CA,0,5,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0
Meeks,M001137,D,NY,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,26,0.076923,-84.6154,1,11,0.090909,-81.8182,0,18,0.0,-100.0,0,19,0.0,-100.0,1,23,0.043478,-91.3043,0,24,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Meijer,M001186,R,MI,0,1,0.0,-100.0,1,4,0.25,-50.0,3,4,0.75,50.0,1,4,0.25,-50.0,3,7,0.428571,-14.2857,1,3,0.333333,-33.3333,6,11,0.545455,9.0909,8,9,0.888889,77.7778,12,16,0.75,50.0,5,9,0.555556,11.1111,2,4,0.5,0.0
Meng,M001188,D,NY,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,26,0.076923,-84.6154,1,11,0.090909,-81.8182,2,20,0.1,-80.0,0,22,0.0,-100.0,0,24,0.0,-100.0,1,26,0.038462,-92.3077,0,8,0.0,-100.0,0,23,0.0,-100.0
Meuser,M001204,R,PA,10,11,0.909091,81.8182,12,12,1.0,100.0,10,12,0.833333,66.6667,25,25,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,21,22,0.954545,90.9091,23,24,0.958333,91.6667,19,26,0.730769,46.1538,10,10,1.0,100.0,23,23,1.0,100.0
Mfume,M000687,D,MD,0,9,0.0,-100.0,0,13,0.0,-100.0,0,12,0.0,-100.0,0,26,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,21,0.0,-100.0,1,22,0.045455,-90.9091,0,23,0.0,-100.0,0,10,0.0,-100.0,2,20,0.1,-80.0
Miller (IL),M001211,R,IL,6,6,1.0,100.0,13,13,1.0,100.0,9,9,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,19,19,1.0,100.0,17,18,0.944444,88.8889,19,21,0.904762,80.9524,10,10,1.0,100.0,20,20,1.0,100.0
Miller (WV),M001205,R,WV,11,12,0.916667,83.3333,15,15,1.0,100.0,10,12,0.833333,66.6667,24,25,0.96,92.0,11,11,1.0,100.0,19,20,0.95,90.0,21,22,0.954545,90.9091,21,24,0.875,75.0,22,26,0.846154,69.2308,10,10,1.0,100.0,21,23,0.913043,82.6087
Miller-Meeks,M001215,R,IA,6,6,1.0,100.0,12,13,0.923077,84.6154,9,10,0.9,80.0,25,25,1.0,100.0,10,11,0.909091,81.8182,15,17,0.882353,76.4706,19,21,0.904762,80.9524,21,22,0.954545,90.9091,18,23,0.782609,56.5217,8,10,0.8,60.0,20,20,1.0,100.0
Moolenaar,M001194,R,MI,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,10,11,0.909091,81.8182,19,20,0.95,90.0,21,22,0.954545,90.9091,22,24,0.916667,83.3333,24,26,0.923077,84.6154,8,10,0.8,60.0,21,23,0.913043,82.6087
Mooney,M001195,R,WV,9,10,0.9,80.0,7,7,1.0,100.0,6,6,1.0,100.0,7,8,0.875,75.0,7,9,0.777778,55.5556,6,6,1.0,100.0,10,10,1.0,100.0,10,12,0.833333,66.6667,19,19,1.0,100.0,9,9,1.0,100.0,9,9,1.0,100.0
Moore (AL),M001212,R,AL,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Moore (UT),M001213,R,UT,6,6,1.0,100.0,11,13,0.846154,69.2308,9,10,0.9,80.0,23,25,0.92,84.0,11,11,1.0,100.0,17,17,1.0,100.0,19,21,0.904762,80.9524,20,22,0.909091,81.8182,18,23,0.782609,56.5217,10,10,1.0,100.0,19,20,0.95,90.0
Moore (WI),M001160,D,WI,0,12,0.0,-100.0,0,15,0.0,-100.0,0,9,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,20,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Morelle,M001206,D,NY,0,12,0.0,-100.0,0,15,0.0,-100.0,0,11,0.0,-100.0,0,26,0.0,-100.0,0,11,0.0,-100.0,3,20,0.15,-70.0,0,18,0.0,-100.0,2,24,0.083333,-83.3333,0,26,0.0,-100.0,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Moulton,M001196,D,MA,0,12,0.0,-100.0,0,13,0.0,-100.0,0,11,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,23,0.043478,-91.3043,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,21,0.0,-100.0
Mrvan,M001214,D,IN,0,6,0.0,-100.0,0,13,0.0,-100.0,0,10,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,14,0.0,-100.0,0,21,0.0,-100.0,3,22,0.136364,-72.7273,2,23,0.086957,-82.6087,0,10,0.0,-100.0,4,20,0.2,-60.0
Mullin,M001190,R,OK,4,4,1.0,100.0,6,6,1.0,100.0,4,4,1.0,100.0,5,5,1.0,100.0,7,7,1.0,100.0,6,6,1.0,100.0,12,12,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,9,9,1.0,100.0,7,7,1.0,100.0
Murphy (FL),M001202,D,FL,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Murphy (NC),M001210,R,NC,8,10,0.8,60.0,13,15,0.866667,73.3333,10,12,0.833333,66.6667,27,27,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,21,24,0.875,75.0,10,10,1.0,100.0,20,20,1.0,100.0
Nadler,N000002,D,NY,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,26,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,22,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Napolitano,N000179,D,CA,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,13,0.0,-100.0,0,21,0.0,-100.0,0,9,0.0,-100.0,0,9,0.0,-100.0
Neal,N000015,D,MA,0,10,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,19,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,22,0.0,-100.0
Neguse,N000191,D,CO,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Nehls,N000026,R,TX,4,4,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,17,18,0.944444,88.8889,19,21,0.904762,80.9524,10,10,1.0,100.0,19,19,1.0,100.0
Newhouse,N000189,R,WA,11,12,0.916667,83.3333,12,15,0.8,60.0,11,12,0.916667,83.3333,26,27,0.962963,92.5926,8,11,0.727273,45.4545,17,20,0.85,70.0,19,22,0.863636,72.7273,20,23,0.869565,73.913,19,26,0.730769,46.1538,8,10,0.8,60.0,18,21,0.857143,71.4286
Newman,N000192,D,IL,0,1,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,7,0.0,-100.0,0,3,0.0,-100.0,0,11,0.0,-100.0,0,9,0.0,-100.0,0,16,0.0,-100.0,0,9,0.0,-100.0,0,4,0.0,-100.0
Norcross,N000188,D,NJ,0,12,0.0,-100.0,0,13,0.0,-100.0,0,11,0.0,-100.0,0,22,0.0,-100.0,0,9,0.0,-100.0,0,18,0.0,-100.0,0,16,0.0,-100.0,1,20,0.05,-90.0,2,26,0.076923,-84.6154,0,9,0.0,-100.0,0,16,0.0,-100.0
Norman,N000190,R,SC,10,10,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,26,26,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,24,0.958333,91.6667,26,26,1.0,100.0,10,10,1.0,100.0,21,23,0.913043,82.6087
O'Halleran,O000171,D,AZ,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Obernolte,O000019,R,CA,5,6,0.833333,66.6667,11,13,0.846154,69.2308,10,10,1.0,100.0,23,25,0.92,84.0,8,11,0.727273,45.4545,17,17,1.0,100.0,21,21,1.0,100.0,20,22,0.909091,81.8182,21,23,0.913043,82.6087,8,10,0.8,60.0,19,20,0.95,90.0
Ocasio-Cortez,O000172,D,NY,3,12,0.25,-50.0,1,15,0.066667,-86.6667,2,12,0.166667,-66.6667,1,27,0.037037,-92.5926,2,11,0.181818,-63.6364,3,20,0.15,-70.0,0,22,0.0,-100.0,5,24,0.208333,-58.3333,1,26,0.038462,-92.3077,0,10,0.0,-100.0,3,23,0.130435,-73.913
Omar,O000173,D,MN,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,1,25,0.04,-92.0,0,11,0.0,-100.0,3,19,0.157895,-68.4211,0,20,0.0,-100.0,2,22,0.090909,-81.8182,1,26,0.038462,-92.3077,0,9,0.0,-100.0,2,22,0.090909,-81.8182
Owens,O000086,R,UT,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,20,23,0.869565,73.913,10,10,1.0,100.0,20,20,1.0,100.0
Palazzo,P000601,R,MS,5,7,0.714286,42.8571,6,6,1.0,100.0,6,6,1.0,100.0,4,6,0.666667,33.3333,6,7,0.857143,71.4286,5,6,0.833333,66.6667,11,12,0.916667,83.3333,9,11,0.818182,63.6364,14,19,0.736842,47.3684,7,9,0.777778,55.5556,5,7,0.714286,42.8571
Pallone,P000034,D,NJ,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,1,27,0.037037,-92.5926,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Palmer,P000609,R,AL,10,10,1.0,100.0,13,13,1.0,100.0,12,12,1.0,100.0,24,24,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,9,9,1.0,100.0,23,23,1.0,100.0
Panetta,P000613,D,CA,0,12,0.0,-100.0,3,15,0.2,-60.0,1,12,0.083333,-83.3333,4,27,0.148148,-70.3704,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Pappas,P000614,D,NH,3,12,0.25,-50.0,3,15,0.2,-60.0,1,12,0.083333,-83.3333,4,27,0.148148,-70.3704,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Pascrell,P000096,D,NJ,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Payne,P000604,D,NJ,0,8,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0
Pelosi,P000197,D,CA,0,5,0.0,-100.0,0,13,0.0,-100.0,0,9,0.0,-100.0,2,21,0.095238,-80.9524,1,7,0.142857,-71.4286,0,11,0.0,-100.0,0,13,0.0,-100.0,1,19,0.052632,-89.4737,2,20,0.1,-80.0,0,6,0.0,-100.0,0,21,0.0,-100.0
Peltola,P000619,D,AK,0,4,0.0,-100.0,0,1,0.0,-100.0,0,2,0.0,-100.0,0,3,0.0,-100.0,0,4,0.0,-100.0,0,1,0.0,-100.0,0,5,0.0,-100.0,3,8,0.375,-25.0,4,9,0.444444,-11.1111,0,3,0.0,-100.0,2,2,1.0,100.0
Pence,P000615,R,IN,5,7,0.714286,42.8571,5,7,0.714286,42.8571,5,7,0.714286,42.8571,7,8,0.875,75.0,9,9,1.0,100.0,5,6,0.833333,66.6667,8,9,0.888889,77.7778,11,13,0.846154,69.2308,16,18,0.888889,77.7778,9,9,1.0,100.0,7,9,0.777778,55.5556
Perlmutter,P000593,D,CO,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Perry,P000605,R,PA,9,10,0.9,80.0,13,15,0.866667,73.3333,12,12,1.0,100.0,25,27,0.925926,85.1852,9,11,0.818182,63.6364,20,20,1.0,100.0,22,22,1.0,100.0,23,24,0.958333,91.6667,26,26,1.0,100.0,10,10,1.0,100.0,18,22,0.818182,63.6364
Peters,P000608,D,CA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,3,25,0.12,-76.0,2,11,0.181818,-63.6364,0,19,0.0,-100.0,0,19,0.0,-100.0,4,24,0.166667,-66.6667,2,24,0.083333,-83.3333,0,9,0.0,-100.0,4,23,0.173913,-65.2174
Pfluger,P000048,R,TX,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Phillips,P000616,D,MN,0,10,0.0,-100.0,1,7,0.142857,-71.4286,0,7,0.0,-100.0,2,8,0.25,-50.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,12,0.083333,-83.3333,0,19,0.0,-100.0,0,9,0.0,-100.0,2,9,0.222222,-55.5556
Pingree,P000597,D,ME,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,19,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Pocan,P000607,D,WI,0,12,0.0,-100.0,0,14,0.0,-100.0,0,12,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Porter,P000618,D,CA,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,12,0.0,-100.0,0,19,0.0,-100.0,0,7,0.0,-100.0,0,9,0.0,-100.0
Posey,P000599,R,FL,10,10,1.0,100.0,7,7,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,9,9,1.0,100.0,6,6,1.0,100.0,12,12,1.0,100.0,13,13,1.0,100.0,18,21,0.857143,71.4286,9,9,1.0,100.0,9,9,1.0,100.0
Pressley,P000617,D,MA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,3,19,0.157895,-68.4211,0,19,0.0,-100.0,0,24,0.0,-100.0,1,26,0.038462,-92.3077,0,10,0.0,-100.0,2,21,0.095238,-80.9524
Price (NC),P000523,D,NC,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Quigley,Q000023,D,IL,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,19,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,21,0.0,-100.0
Raskin,R000606,D,MD,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Reschenthaler,R000610,R,PA,9,10,0.9,80.0,12,15,0.8,60.0,12,12,1.0,100.0,25,26,0.961538,92.3077,10,11,0.909091,81.8182,18,20,0.9,80.0,21,22,0.954545,90.9091,22,24,0.916667,83.3333,21,26,0.807692,61.5385,8,10,0.8,60.0,23,23,1.0,100.0
Rice (NY),R000602,D,NY,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Rice (SC),R000597,R,SC,6,7,0.857143,71.4286,6,6,1.0,100.0,5,5,1.0,100.0,5,6,0.833333,66.6667,5,7,0.714286,42.8571,6,6,1.0,100.0,8,10,0.8,60.0,10,11,0.909091,81.8182,13,19,0.684211,36.8421,7,9,0.777778,55.5556,7,7,1.0,100.0
Rodgers (WA),M001159,R,WA,6,10,0.6,20.0,3,7,0.428571,-14.2857,4,6,0.666667,33.3333,7,8,0.875,75.0,9,9,1.0,100.0,5,6,0.833333,66.6667,10,10,1.0,100.0,12,12,1.0,100.0,16,19,0.842105,68.4211,9,9,1.0,100.0,6,9,0.666667,33.3333
Rogers (AL),R000575,R,AL,10,12,0.833333,66.6667,13,15,0.866667,73.3333,12,12,1.0,100.0,27,27,1.0,100.0,9,11,0.818182,63.6364,20,20,1.0,100.0,20,21,0.952381,90.4762,24,24,1.0,100.0,22,24,0.916667,83.3333,10,10,1.0,100.0,23,23,1.0,100.0
Rogers (KY),R000395,R,KY,7,12,0.583333,16.6667,10,15,0.666667,33.3333,10,12,0.833333,66.6667,23,27,0.851852,70.3704,8,11,0.727273,45.4545,17,20,0.85,70.0,21,22,0.954545,90.9091,20,24,0.833333,66.6667,17,26,0.653846,30.7692,7,10,0.7,40.0,20,23,0.869565,73.913
Rose,R000612,R,TN,9,10,0.9,80.0,15,15,1.0,100.0,8,10,0.8,60.0,27,27,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,21,22,0.954545,90.9091,21,21,1.0,100.0,23,25,0.92,84.0,10,10,1.0,100.0,23,23,1.0,100.0
Rosendale,R000103,R,MT,4,4,1.0,100.0,5,5,1.0,100.0,5,5,1.0,100.0,6,6,1.0,100.0,9,9,1.0,100.0,3,3,1.0,100.0,11,11,1.0,100.0,9,11,0.818182,63.6364,16,18,0.888889,77.7778,9,9,1.0,100.0,4,6,0.666667,33.3333
Ross,R000305,D,NC,0,6,0.0,-100.0,0,13,0.0,-100.0,0,10,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,21,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,10,0.0,-100.0,0,20,0.0,-100.0
Rouzer,R000603,R,NC,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,21,21,1.0,100.0,23,24,0.958333,91.6667,21,26,0.807692,61.5385,10,10,1.0,100.0,21,21,1.0,100.0
